experiment,fold,epoch,train_loss,val_loss,macro_f1,micro_f1,mAP,threshold
Plain + GAP,2,9,1.178870266903945,1.136535241983939,0.21445626255188965,0.24566929133858267,0.2273481583320205,0.5499999999999999
Plain + GAP,2,10,1.1816066377584182,1.1555694859960806,0.20234151413560741,0.2014519056261343,0.21679632841763935,0.49999999999999994
Plain + GAP,2,11,1.1677599509122811,1.143055314603059,0.2203440944760927,0.20660457239627433,0.2361047229808682,0.49999999999999994
Plain + GAP,2,12,1.1667902810543178,1.1268431622049082,0.21738010059684473,0.22647058823529412,0.23402023027626967,0.5499999999999999
Plain + GAP,2,13,1.1491296121982928,1.1044021551159844,0.22836892063853437,0.23306772908366533,0.24367090026917312,0.49999999999999994
Plain + GAP,2,14,1.1535810911807423,1.1239480108454607,0.22470290477889934,0.20549158547387067,0.24573595202908832,0.49999999999999994
Plain + GAP,2,15,1.135551217040946,1.1257710698722065,0.22823002998802325,0.2140221402214022,0.24729752025052473,0.49999999999999994
Plain + GAP,2,16,1.1424875318026932,1.122624597687652,0.2279731023218146,0.246875,0.24116662879571876,0.5499999999999999
Plain + GAP,2,17,1.141767438426478,1.1003011689669844,0.23443374906080447,0.21742881794650562,0.252491729062281,0.49999999999999994
Plain + GAP,2,18,1.1318816869419563,1.1258030767026155,0.2262602331546291,0.19345011424219344,0.26098419083654684,0.49999999999999994
Plain + GAP,2,19,1.131782727814763,1.120205874028413,0.23248415029934202,0.24853801169590642,0.23008415321968448,0.5499999999999999
Plain + GAP,2,20,1.1366863715409798,1.1198061497315117,0.22776031301188493,0.2286401925391095,0.2649451779031484,0.5499999999999999
Plain + GAP,2,21,1.1238389505931805,1.1139633448227593,0.23763845052660187,0.24478442280945759,0.24468065785415755,0.5499999999999999
Plain + GAP,2,22,1.1061536933554978,1.115257902421813,0.24122969901417113,0.23180592991913745,0.2531550005507236,0.5499999999999999
Plain + GAP,2,23,1.1021939288071596,1.1116409543631733,0.235825021944254,0.24960505529225907,0.2584388650414549,0.5499999999999999
Plain + GAP,2,24,1.119742101224611,1.1002163057741912,0.23967290112707568,0.2262357414448669,0.25485229950352184,0.49999999999999994
Plain + GAP,2,25,1.1092443021051654,1.3188881874084473,0.18973741445289297,0.16108108108108107,0.2624980125015,0.35
Plain + GAP,2,26,1.1001000836464443,1.1007882045662922,0.23949769862801468,0.24032042723631508,0.27183768078873133,0.5499999999999999
Plain + GAP,2,27,1.1001934594795353,1.090725290602532,0.2561130226515653,0.302771855010661,0.25995458307844327,0.5999999999999999
Plain + GAP,2,28,1.0839835959054083,1.1061241834060005,0.2612794038702408,0.26571428571428574,0.2468285840661485,0.5499999999999999
Plain + GAP,2,29,1.0976946468996003,1.0866402577662813,0.2589720309627216,0.2696629213483146,0.265420407564885,0.5499999999999999
Plain + GAP,2,30,1.0937129037627757,1.0867332220077515,0.25328021040513904,0.2428430404738401,0.26849923758672456,0.49999999999999994
Plain + GAP,2,31,1.0725406301911846,1.1019517787988635,0.2288798999426064,0.22705314009661837,0.2635761185821028,0.5499999999999999
Plain + GAP,2,32,1.0781840261865834,1.0959345948868904,0.2623973441956874,0.2664835164835165,0.2576540100441682,0.5499999999999999
Plain + GAP,2,33,1.0748836160357533,1.1181310052457063,0.26155910972623403,0.2764811490125673,0.25068678112542364,0.5999999999999999
Plain + GAP,2,34,1.0953398683466329,1.1155143354250037,0.22431164463632902,0.2222222222222222,0.2613564745656027,0.49999999999999994
Plain + GAP,2,35,1.0835606812996508,1.1193315620007722,0.2526521997054814,0.23696682464454977,0.2547111221553239,0.5499999999999999
Plain + GAP,2,36,1.0795884132385254,1.1248991195706353,0.24394478522898558,0.24205128205128204,0.24601515958391149,0.49999999999999994
Plain + GAP,2,37,1.078461966879381,1.158110729162244,0.24176776499157673,0.21061946902654868,0.25416091372961747,0.49999999999999994
Plain + GAP,2,38,1.0838763574867736,1.097108082494874,0.2723338195085197,0.2710526315789474,0.271162586690259,0.5499999999999999
Plain + GAP,2,39,1.050516634690957,1.115932354028674,0.2631698420993194,0.2668500687757909,0.27082350632699953,0.5499999999999999
Plain + GAP,2,40,1.05399283142472,1.1186323269553806,0.2552547748339087,0.25225225225225223,0.24678678772393747,0.5499999999999999
Plain + GAP,2,41,1.0586618169843607,1.1093831390574358,0.2627708501762416,0.2691292875989446,0.2635976011052126,0.5499999999999999
Plain + GAP,2,42,1.052531090156194,1.1503942548364834,0.2708473489874445,0.2639455782312925,0.2662843196472001,0.5499999999999999
Plain + GAP,2,43,1.0533052869616093,1.1168584495350935,0.2802258903112722,0.26524064171122996,0.2707792277585048,0.49999999999999994
Plain + GAP,2,44,1.081027043321745,1.134998069293257,0.2404398683701081,0.24345549738219896,0.24022323535453113,0.5499999999999999
Plain + GAP,2,45,1.0406336905960611,1.116688030353491,0.2633349126843739,0.27898550724637683,0.25596660625873807,0.5999999999999999
Plain + GAP,2,46,1.0430208053745207,1.1396955407184104,0.2389760307644521,0.2422680412371134,0.25443723539960816,0.5499999999999999
Plain + GAP,2,47,1.0384246456167086,1.1651731453080107,0.2689259256921382,0.24429223744292236,0.2576083646825411,0.49999999999999994
Plain + GAP,2,48,1.056690906132071,1.1221178320870884,0.2537119240448934,0.27722772277227725,0.2624251364250162,0.5999999999999999
Plain + GAP,2,49,1.0413765883402313,1.1144343666408374,0.2557842729161727,0.2724252491694352,0.27100970657817547,0.5999999999999999
Plain + GAP,2,50,1.0345313277618047,1.1222550678944243,0.27000999731922215,0.2786206896551724,0.2671243848019513,0.5499999999999999
Plain + GAP,2,51,1.0438102711745298,1.121320733125659,0.2760075808839433,0.2872531418312388,0.26748273317904664,0.5999999999999999
Plain + GAP,2,52,1.0268740488966088,1.1263678764951401,0.2797562644586454,0.2978723404255319,0.2637202612857436,0.5999999999999999
Plain + GAP,2,53,1.0252732769170527,1.1151374284771904,0.2536628046784042,0.255659121171771,0.26601147950250653,0.5499999999999999
